Year,State,Month,Region,Site,Lat,Long,Prevalence,MonitoringLocation,Mean Intensity
2006,MD,October,ST. MARY'S RIVER,CHICKEN COCK,38.102767,-76.4353,90,ET8.1,3.4
1999,MD,October,ST. MARY'S RIVER,PAGAN (S),38.1918,-76.443767,97,EE3.0,3.4
2006,MD,October,TANGIER SOUND,PINEY ISLAND EASY,38.0686,-75.90555,80,EE3.2,3.4
2009,MD,October,TANGIER SOUND,PINEY ISLAND EASY,38.0686,-75.90555,90,EE3.2,3.4
2003,MD,October,TANGIER SOUND,SHARKFIN SHOAL,38.208167,-75.986383,47,EE3.0,3.4
2006,MD,October,TANGIER SOUND,SHARKFIN SHOAL,38.208167,-75.986383,83,EE3.0,3.4
2014,MD,October,TANGIER SOUND,SHARKFIN SHOAL,38.208167,-75.986383,90,EE3.0,3.4
2012,MD,October,TRED AVON RIVER,DOUBLE MILLS (S),38.729383,-76.138983,83,ET4.2,3.4
1999,MD,October,UPPER BAY,SWAN POINT,39.13995,-76.302417,97,CB3.2,3.4
2001,VA,September,YEOCOMICO R. REEF,YEOCOMICO R. REEF,,,100,,3.363636364
2000,VA,October,MOBJACK BAY,PULTZ BAR,37.35305,-76.352783,95,WE4.1,3.333333333
1993,MD,October,CHESTER RIVER,BUOY ROCK,38.994033,-76.213683,93,CB3.2,3.3
2001,MD,October,CHESTER RIVER,OLD FIELD (S),39.0843,-76.164883,100,CB3.2,3.3
2008,MD,October,CHESTER RIVER,OLD FIELD (S),39.0843,-76.164883,90,CB3.2,3.3
2009,MD,October,CHESTER RIVER,OLD FIELD (S),39.0843,-76.164883,87,CB3.2,3.3
2015,MD,October,CHOPTANK RIVER,COOK POINT (S),38.65405,-76.2793,90,EE2.1,3.3
1995,MD,October,CHOPTANK RIVER,LIGHTHOUSE,38.658367,-76.188183,90,ET4.2,3.3
2001,MD,October,CHOPTANK RIVER,LIGHTHOUSE,38.658367,-76.188183,100,ET4.2,3.3
1993,MD,October,CHOPTANK RIVER,ROYSTON,38.686017,-76.241333,100,EE2.1,3.3
2004,MD,October,CHOPTANK RIVER,SANDY HILL (S),38.598383,-76.113417,87,ET5.2,3.3
2015,MD,October,CHOPTANK RIVER,SANDY HILL (S),38.598383,-76.113417,93,ET5.2,3.3
2015,MD,October,EASTERN BAY,BUGBY,38.87535,-76.220267,87,EE1.1,3.3
2016,MD,October,EASTERN BAY,BUGBY,38.87535,-76.220267,90,EE1.1,3.3
2017,MD,October,EASTERN BAY,BUGBY,38.87535,-76.220267,97,EE1.1,3.3
2008,MD,October,EASTERN BAY,HOLLICUT NOOSE,38.1186,-76.075933,93,EE3.1,3.3
1993,MD,October,EASTERN BAY,PARSONS ISLAND,38.895883,-76.2602,100,ET4.2,3.3
2003,MD,October,EASTERN BAY,PARSONS ISLAND,38.895883,-76.2602,90,ET4.2,3.3
1994,MD,October,HONGA RIVER,NORMAN ADDITION,38.257933,-76.13665,93,EE2.2,3.3
2004,MD,October,HONGA RIVER,NORMAN ADDITION,38.257933,-76.13665,93,EE2.2,3.3
2011,MD,October,HONGA RIVER,NORMAN ADDITION,38.257933,-76.13665,87,EE2.2,3.3
2012,MD,October,LITTLE CHOPTANK RIVER,CASON (S),38.53645,-76.289033,93,EE2.1,3.3
2017,MD,October,LITTLE CHOPTANK RIVER,CASON (S),38.53645,-76.289033,97,EE2.1,3.3
1993,MD,October,LOWER BAY,BUTLER,38.109467,-76.3241,97,LE2.2,3.3
1998,MD,October,LOWER BAY,BUTLER,38.109467,-76.3241,97,LE2.2,3.3
2005,MD,October,MANOKIN RIVER,GEORGES (S),38.40033,-75.824867,90,ET5.2,3.3
1995,MD,October,MIDDLE BAY,FLAG POND,38.430133,-76.429017,87,ET5.1,3.3
1999,MD,October,MIDDLE BAY,HACKETT POINT,38.968733,-76.419317,97,CB4.1W,3.3
2002,MD,October,MIDDLE BAY,HACKETT POINT,38.968733,-76.419317,100,CB4.1W,3.3
2000,MD,October,MILES RIVER,LONG POINT (S),38.767233,-76.17735,97,EE1.1,3.3
1991,MD,October,MILES RIVER,TURTLE BACK,38.851067,-76.236333,100,EE1.1,3.3
1993,MD,October,MILES RIVER,TURTLE BACK,38.851067,-76.236333,100,EE1.1,3.3
2005,MD,October,MILES RIVER,TURTLE BACK,38.851067,-76.236333,100,EE1.1,3.3
2010,MD,October,PATUXENT RIVER,BROOME ISLAND,38.405133,-76.561167,90,LE1.1,3.3
1991,MD,October,POCOMOKE SOUND,MARUMSCO,37.948233,-75.736017,93,EE3.3,3.3
2005,MD,October,POCOMOKE SOUND,MARUMSCO,37.948233,-75.736017,93,EE3.3,3.3
2006,MD,October,POTOMAC RIVER,CORNFIELD HARBOR,38.0498,-76.333933,100,LE2.3,3.3
2010,VA,October,PIANKATANK RIVER,PALACE BAR,37.526667,-76.37,91,LE3.7,3.3
2010,MD,October,ST. MARY'S RIVER,CHICKEN COCK,38.102767,-76.4353,83,ET8.1,3.3
1990,MD,October,ST. MARY'S RIVER,PAGAN (S),38.1918,-76.443767,93,EE3.0,3.3
1992,MD,October,TANGIER SOUND,BACK COVE,38.030167,-75.979817,97,EE3.1,3.3
2009,MD,October,TANGIER SOUND,BACK COVE,38.030167,-75.979817,87,EE3.1,3.3
2008,MD,October,TANGIER SOUND,PINEY ISLAND EASY,38.0686,-75.90555,90,EE3.2,3.3
2011,MD,October,TANGIER SOUND,SHARKFIN SHOAL,38.208167,-75.986383,90,EE3.0,3.3
2001,MD,October,UPPER BAY,SWAN POINT,39.13995,-76.302417,93,CB3.2,3.3
2000,VA,October,RAPPAHANNOCK RIVER,DRUMMING GROUND,37.643883,-76.466383,96,LE3.4,3.291666667
2000,VA,September,COAN RIVER,CLARK'S BAR,,,96,ET8.1,3.28
2007,VA,October,YORK RIVER,BELL ROCK,37.484167,-76.749717,100,RET4.3,3.24
2001,VA,October,RAPPAHANNOCK RIVER,DRUMMING GROUND,37.643883,-76.466383,100,LE3.4,3.24
2000,VA,September,EASTERN SHORE,MACHIPONGO RIVER,,,100,,3.24
2000,VA,September,NOMINI RIVER,NOMINI RIVER,,,100,,3.24
2002,MD,October,BROAD CREEK,DEEP NECK,38.740517,-76.2449,100,EE2.1,3.2
2012,MD,October,BROAD CREEK,DEEP NECK,38.740517,-76.2449,100,EE2.1,3.2
2002,VA,September,YORK RIVER,BELL ROCK,37.484167,-76.749717,96,RET4.3,3.2
2007,MD,October,CHESTER RIVER,BUOY ROCK,38.994033,-76.213683,80,CB3.2,3.2
2012,MD,October,CHOPTANK RIVER,COOK POINT (S),38.65405,-76.2793,93,EE2.1,3.2
2013,MD,October,CHOPTANK RIVER,COOK POINT (S),38.65405,-76.2793,97,EE2.1,3.2
1993,MD,October,CHOPTANK RIVER,LIGHTHOUSE,38.658367,-76.188183,93,ET4.2,3.2
1990,MD,October,HARRIS CREEK,TILGHMAN WHARF,38.704033,-76.315567,100,CB3.3W,3.2
1993,MD,October,HARRIS CREEK,TILGHMAN WHARF,38.704033,-76.315567,100,CB3.3W,3.2
2002,MD,October,HARRIS CREEK,TILGHMAN WHARF,38.704033,-76.315567,90,CB3.3W,3.2
2017,MD,October,HONGA RIVER,NORMAN ADDITION,38.257933,-76.13665,93,EE2.2,3.2
2009,MD,October,LITTLE CHOPTANK RIVER,CASON (S),38.53645,-76.289033,100,EE2.1,3.2
1999,MD,October,LOWER BAY,BUTLER,38.109467,-76.3241,93,LE2.2,3.2
1998,MD,October,LOWER BAY,HOG ISLAND,38.313117,-76.3947,97,ET5.1,3.2
1993,MD,October,MIDDLE BAY,HACKETT POINT,38.968733,-76.419317,97,CB4.1W,3.2
2001,MD,October,MIDDLE BAY,HOLLAND POINT (S),38.739367,-76.511667,93,CB4.1W,3.2
2004,MD,October,MILES RIVER,LONG POINT (S),38.767233,-76.17735,97,EE1.1,3.2
2017,MD,October,MILES RIVER,TURTLE BACK,38.851067,-76.236333,83,EE1.1,3.2
2016,MD,October,NANTICOKE RIVER,WILSON SHOALS (S),39.289717,-75.921033,90,ET3.1,3.2
2017,MD,October,NANTICOKE RIVER,WILSON SHOALS (S),39.289717,-75.921033,87,ET3.1,3.2
2013,MD,October,PATUXENT RIVER,BROOME ISLAND,38.405133,-76.561167,93,LE1.1,3.2
2012,MD,October,POCOMOKE SOUND,MARUMSCO,37.948233,-75.736017,97,EE3.3,3.2
2010,MD,October,POTOMAC RIVER,RAGGED POINT (PR),38.09142,-76.60055,4,ET8.1,3.2
1992,MD,October,ST. MARY'S RIVER,CHICKEN COCK,38.102767,-76.4353,93,ET8.1,3.2
2011,VA,October,MOBJACK BAY,PULTZ BAR,37.35305,-76.352783,96,WE4.1,3.2
1996,MD,October,TANGIER SOUND,BACK COVE,38.030167,-75.979817,97,EE3.1,3.2
2007,MD,October,TANGIER SOUND,BACK COVE,38.030167,-75.979817,93,EE3.1,3.2
2015,MD,October,TANGIER SOUND,BACK COVE,38.030167,-75.979817,77,EE3.1,3.2
1998,MD,October,TANGIER SOUND,OLD WOMAN'S LEG,37.95625,-75.962667,90,EE3.2,3.2
2005,MD,October,TANGIER SOUND,SHARKFIN SHOAL,38.208167,-75.986383,87,EE3.0,3.2
2010,VA,October,JAMES RIVER,THOMAS ROCK,37.029433,-76.493283,100,LE5.2,3.2
2002,VA,September,MOBJACK BAY,TOW STAKE,37.338883,-76.386117,96,WE4.1,3.2
1999,MD,October,GREAT WICOMICO RIVER,MILLS WEST,38.334683,-76.860333,90,RET3.1,3.2
2000,MD,October,WYE RIVER,BRUFFS ISLAND,38.860283,-76.194117,97,EE1.1,3.2
1996,VA,July,YORK RIVER,CEDAR BUSH CREEK,,,100,,3.16
2001,VA,September,COAN RIVER REEF,COAN RIVER REEF,,,100,ET8.1,3.16
2001,VA,October,ELIZABETH RIVER (REEF),ELIZABETH RIVER (REEF),,,100,LE5.2,3.16
2013,MD,October,BROAD CREEK,DEEP NECK,38.740517,-76.2449,80,EE2.1,3.1
2016,MD,October,BROAD CREEK,DEEP NECK,38.740517,-76.2449,80,EE2.1,3.1
2009,VA,October,RAPPAHANNOCK RIVER,BROAD CREEK,37.57695,-76.300833,98,LE3.7,3.1
2014,MD,October,CHOPTANK RIVER,COOK POINT (S),38.65405,-76.2793,80,EE2.1,3.1
2002,MD,October,EASTERN BAY,BUGBY,38.87535,-76.220267,97,EE1.1,3.1
1994,MD,October,EASTERN BAY,PARSONS ISLAND,38.895883,-76.2602,93,ET4.2,3.1
2008,MD,October,EASTERN BAY,PARSONS ISLAND,38.895883,-76.2602,87,ET4.2,3.1
1991,MD,October,FISHING BAY,GOOSE CREEK,38.275533,-76.014233,100,EE3.0,3.1
2000,MD,October,FISHING BAY,GOOSE CREEK,38.275533,-76.014233,97,EE3.0,3.1
1995,MD,October,HOLLAND STRAITS,HOLLAND STRAITS,38.1186,-76.075933,93,EE3.1,3.1
2013,MD,October,HONGA RIVER,NORMAN ADDITION,38.257933,-76.13665,80,EE2.2,3.1
2007,MD,October,LOWER BAY,HOG ISLAND,38.313117,-76.3947,80,ET5.1,3.1
2019,MD,October,MANOKIN RIVER,GEORGES (S),38.40033,-75.824867,77,ET5.2,3.1
2002,MD,October,MILES RIVER,LONG POINT (S),38.767233,-76.17735,100,EE1.1,3.1
2008,MD,October,MILES RIVER,LONG POINT (S),38.767233,-76.17735,87,EE1.1,3.1
2000,MD,October,MILES RIVER,TURTLE BACK,38.851067,-76.236333,97,EE1.1,3.1
2013,MD,October,POTOMAC RIVER,CORNFIELD HARBOR,38.0498,-76.333933,90,LE2.3,3.1
2014,MD,October,POTOMAC RIVER,CORNFIELD HARBOR,38.0498,-76.333933,80,LE2.3,3.1
2004,MD,October,POTOMAC RIVER,RAGGED POINT (PR),38.09142,-76.60055,9,ET8.1,3.1
1991,MD,October,ST. MARY'S RIVER,CHICKEN COCK,38.102767,-76.4353,97,ET8.1,3.1
2017,MD,October,ST. MARY'S RIVER,CHICKEN COCK,38.102767,-76.4353,97,ET8.1,3.1
2006,MD,October,ST. MARY'S RIVER,PAGAN (S),38.1918,-76.443767,80,EE3.0,3.1
2016,MD,October,ST. MARY'S RIVER,PAGAN (S),38.1918,-76.443767,83,EE3.0,3.1
2017,MD,October,ST. MARY'S RIVER,PAGAN (S),38.1918,-76.443767,80,EE3.0,3.1
2005,MD,October,TANGIER SOUND,BACK COVE,38.030167,-75.979817,100,EE3.1,3.1
2014,MD,October,TANGIER SOUND,BACK COVE,38.030167,-75.979817,80,EE3.1,3.1
1991,MD,October,TANGIER SOUND,PINEY ISLAND EASY,38.0686,-75.90555,97,EE3.2,3.1
1994,MD,October,TANGIER SOUND,PINEY ISLAND EASY,38.0686,-75.90555,87,EE3.2,3.1
2002,MD,October,TANGIER SOUND,PINEY ISLAND EASY,38.0686,-75.90555,100,EE3.2,3.1
2013,MD,October,TRED AVON RIVER,DOUBLE MILLS (S),38.729383,-76.138983,83,ET4.2,3.1
2002,MD,October,GREAT WICOMICO RIVER,MILLS WEST,38.334683,-76.860333,93,RET3.1,3.1
2005,VA,October,YORK RIVER,ABERDEEN ROCK,37.335283,-76.60055,100,LE4.2,3.08
1991,VA,September,PIANKATANK RIVER,GINNEY POINT,37.3533333,-76.4,100,WE4.1,3.08
2002,VA,October,RAPPAHANNOCK RIVER,HOG HOUSE ROCK,37.636183,-76.54255,100,LE3.2,3.08
2006,VA,November,JAMES RIVER,NANSEMOND RIDGE,36.922217,-76.452783,92,LE5.2,3.08
2001,VA,October,MOBJACK BAY,TOW STAKE,37.338883,-76.386117,96,WE4.1,3.041666667
2008,VA,October,RAPPAHANNOCK RIVER,BROAD CREEK,37.57695,-76.300833,96,LE3.7,3.04
2000,VA,October,JAMES RIVER,HORSEHEAD ROCK,37.106883,-76.634267,96,LE5.2,3.04
2002,VA,October,CORROTOMAN RIVER,MIDDLE GROUND,37.683333,-76.473333,96,LE3.4,3.04
2002,VA,October,RAPPAHANNOCK RIVER,SMOKEY POINT,37.719167,-76.582217,96,LE3.1,3.04
2006,VA,September,YORK RIVER,ABERDEEN ROCK,37.335283,-76.60055,100,LE4.2,3
2009,VA,October,YORK RIVER,ABERDEEN ROCK,37.335283,-76.60055,96,LE4.2,3
1995,MD,October,BROAD CREEK,DEEP NECK,38.740517,-76.2449,97,EE2.1,3
1999,MD,October,CHESTER RIVER,BUOY ROCK,38.994033,-76.213683,93,CB3.2,3
1999,MD,October,CHESTER RIVER,OLD FIELD (S),39.0843,-76.164883,97,CB3.2,3
2000,MD,October,CHESTER RIVER,OLD FIELD (S),39.0843,-76.164883,93,CB3.2,3
1994,MD,October,CHOPTANK RIVER,COOK POINT (S),38.65405,-76.2793,90,EE2.1,3
2002,VA,October,PIANKATANK RIVER,BURTON POINT,37.515,-76.328333,100,LE3.7,3
2002,MD,October,CHOPTANK RIVER,OYSTER SHELL POINT,38.589233,-76.005517,100,ET5.2,3
1993,MD,October,EASTERN BAY,BUGBY,38.87535,-76.220267,100,EE1.1,3
1999,MD,October,EASTERN BAY,HOLLICUT NOOSE,38.1186,-76.075933,90,EE3.1,3
2007,MD,October,EASTERN BAY,HOLLICUT NOOSE,38.1186,-76.075933,87,EE3.1,3
1998,MD,October,FISHING BAY,GOOSE CREEK,38.275533,-76.014233,100,EE3.0,3
2017,MD,October,FISHING BAY,GOOSE CREEK,38.275533,-76.014233,80,EE3.0,3
1991,MD,October,HARRIS CREEK,TILGHMAN WHARF,38.704033,-76.315567,97,CB3.3W,3
2005,MD,October,HOLLAND STRAITS,HOLLAND STRAITS,38.1186,-76.075933,83,EE3.1,3
2007,MD,October,HOLLAND STRAITS,HOLLAND STRAITS,38.1186,-76.075933,80,EE3.1,3
2012,MD,October,HOLLAND STRAITS,HOLLAND STRAITS,38.1186,-76.075933,83,EE3.1,3
2015,MD,October,HOLLAND STRAITS,HOLLAND STRAITS,38.1186,-76.075933,83,EE3.1,3
2001,MD,October,HONGA RIVER,NORMAN ADDITION,38.257933,-76.13665,90,EE2.2,3
1990,MD,October,LOWER BAY,HOG ISLAND,38.313117,-76.3947,90,ET5.1,3
2015,MD,October,LOWER BAY,HOG ISLAND,38.313117,-76.3947,87,ET5.1,3
1993,MD,October,MIDDLE BAY,HOLLAND POINT (S),38.739367,-76.511667,93,CB4.1W,3
1992,MD,October,MILES RIVER,LONG POINT (S),38.767233,-76.17735,86,EE1.1,3
2005,MD,October,NANTICOKE RIVER,WILSON SHOALS (S),39.289717,-75.921033,90,ET3.1,3
2013,MD,October,NANTICOKE RIVER,WILSON SHOALS (S),39.289717,-75.921033,93,ET3.1,3
1993,MD,October,PATUXENT RIVER,BROOME ISLAND,38.405133,-76.561167,87,LE1.1,3
1998,MD,October,PATUXENT RIVER,BROOME ISLAND,38.405133,-76.561167,83,LE1.1,3
2012,MD,October,PATUXENT RIVER,BROOME ISLAND,38.405133,-76.561167,87,LE1.1,3
2009,MD,October,POCOMOKE SOUND,MARUMSCO,37.948233,-75.736017,90,EE3.3,3
2012,MD,October,POTOMAC RIVER,CORNFIELD HARBOR,38.0498,-76.333933,83,LE2.3,3
2006,MD,October,POTOMAC RIVER,RAGGED POINT (PR),38.09142,-76.60055,0,ET8.1,3
2001,VA,October,MOBJACK BAY,PULTZ BAR,37.35305,-76.352783,100,WE4.1,3
1992,MD,October,ST. MARY'S RIVER,PAGAN (S),38.1918,-76.443767,100,EE3.0,3
1995,MD,October,TANGIER SOUND,BACK COVE,38.030167,-75.979817,83,EE3.1,3
2012,MD,October,TANGIER SOUND,BACK COVE,38.030167,-75.979817,90,EE3.1,3
2010,MD,October,TANGIER SOUND,OLD WOMAN'S LEG,37.95625,-75.962667,70,EE3.2,3
1995,MD,October,TANGIER SOUND,SHARKFIN SHOAL,38.208167,-75.986383,90,EE3.0,3
2001,VA,September,GREAT WICOMICO RIVER,SHELL BAR REEF,,,100,,3
1998,MD,October,TRED AVON RIVER,DOUBLE MILLS (S),38.729383,-76.138983,100,ET4.2,3
1992,MD,October,WYE RIVER,BRUFFS ISLAND,38.860283,-76.194117,93,EE1.1,3
2008,MD,October,WYE RIVER,BRUFFS ISLAND,38.860283,-76.194117,93,EE1.1,3
1999,VA,October,JAMES RIVER,WRECK SHOAL,37.060283,-76.572217,100,LE5.2,3
1999,VA,October,RAPPAHANNOCK RIVER,DRUMMING GROUND,37.643883,-76.466383,100,LE3.4,2.92
2001,VA,October,RAPPAHANNOCK RIVER,LONG ROCK,37.8135,-76.7084,100,RET3.2,2.92
1998,MD,October,BROAD CREEK,DEEP NECK,38.740517,-76.2449,97,EE2.1,2.9
2015,MD,October,BROAD CREEK,DEEP NECK,38.740517,-76.2449,93,EE2.1,2.9
2008,MD,October,EASTERN BAY,BUGBY,38.87535,-76.220267,93,EE1.1,2.9
2006,MD,October,EASTERN BAY,HOLLICUT NOOSE,38.1186,-76.075933,83,EE3.1,2.9
2011,VA,October,GREAT WICOMICO RIVER,CRANES CREEK,,,92,CB5.4,2.9
2017,MD,October,EASTERN BAY,PARSONS ISLAND,38.895883,-76.2602,83,ET4.2,2.9
2008,MD,October,LITTLE CHOPTANK RIVER,CASON (S),38.53645,-76.289033,100,EE2.1,2.9
2002,MD,October,LOWER BAY,HOG ISLAND,38.313117,-76.3947,87,ET5.1,2.9
1991,MD,October,MANOKIN RIVER,GEORGES (S),38.40033,-75.824867,93,ET5.2,2.9
2007,MD,October,MIDDLE BAY,HACKETT POINT,38.968733,-76.419317,87,CB4.1W,2.9
1995,MD,October,MIDDLE BAY,HOLLAND POINT (S),38.739367,-76.511667,87,CB4.1W,2.9
2009,MD,October,MILES RIVER,TURTLE BACK,38.851067,-76.236333,97,EE1.1,2.9
2019,MD,October,MILES RIVER,TURTLE BACK,38.851067,-76.236333,73,EE1.1,2.9
1990,MD,October,NANTICOKE RIVER,WILSON SHOALS (S),39.289717,-75.921033,93,ET3.1,2.9
2009,MD,October,NANTICOKE RIVER,WILSON SHOALS (S),39.289717,-75.921033,87,ET3.1,2.9
1993,MD,October,POTOMAC RIVER,CORNFIELD HARBOR,38.0498,-76.333933,93,LE2.3,2.9
2001,MD,October,POTOMAC RIVER,CORNFIELD HARBOR,38.0498,-76.333933,80,LE2.3,2.9
2002,MD,October,ST. MARY'S RIVER,CHICKEN COCK,38.102767,-76.4353,100,ET8.1,2.9
2005,MD,October,ST. MARY'S RIVER,PAGAN (S),38.1918,-76.443767,83,EE3.0,2.9
2015,MD,October,ST. MARY'S RIVER,PAGAN (S),38.1918,-76.443767,83,EE3.0,2.9
1997,MD,October,TANGIER SOUND,BACK COVE,38.030167,-75.979817,93,EE3.1,2.9
2002,MD,October,TRED AVON RIVER,DOUBLE MILLS (S),38.729383,-76.138983,97,ET4.2,2.9
2007,MD,October,TRED AVON RIVER,DOUBLE MILLS (S),38.729383,-76.138983,87,ET4.2,2.9
2015,MD,October,TRED AVON RIVER,DOUBLE MILLS (S),38.729383,-76.138983,70,ET4.2,2.9
1992,MD,October,GREAT WICOMICO RIVER,MILLS WEST,38.334683,-76.860333,90,RET3.1,2.9
2000,VA,October,CORROTOMAN RIVER,MIDDLE GROUND,37.683333,-76.473333,96,LE3.4,2.88
1999,VA,October,RAPPAHANNOCK RIVER,BOWLERS ROCK,37.827367,-76.736333,100,RET3.2,2.84
2008,VA,October,JAMES RIVER,DEEP WATER SHOAL,37.148883,-76.63555,100,LE5.1,2.84
2000,VA,October,RAPPAHANNOCK RIVER,SMOKEY POINT,37.719167,-76.582217,92,LE3.1,2.84
2001,VA,October,JAMES RIVER,SWASH,37.092217,-76.612217,100,LE5.2,2.84
2001,VA,October,JAMES RIVER,WRECK SHOAL,37.060283,-76.572217,100,LE5.2,2.84
1999,VA,October,RAPPAHANNOCK RIVER,BROAD CREEK,37.57695,-76.300833,96,LE3.7,2.833333333
2010,VA,October,YORK RIVER,ABERDEEN ROCK,37.335283,-76.60055,100,LE4.2,2.8
1992,MD,October,CHESTER RIVER,BUOY ROCK,38.994033,-76.213683,97,CB3.2,2.8
1998,MD,October,CHOPTANK RIVER,COOK POINT (S),38.65405,-76.2793,87,EE2.1,2.8
2010,VA,October,PIANKATANK RIVER,BURTON POINT,37.515,-76.328333,96,LE3.7,2.8
1993,MD,October,CHOPTANK RIVER,OYSTER SHELL POINT,38.589233,-76.005517,93,ET5.2,2.8
2017,MD,October,CHOPTANK RIVER,OYSTER SHELL POINT,38.589233,-76.005517,77,ET5.2,2.8
2013,MD,October,CHOPTANK RIVER,SANDY HILL (S),38.598383,-76.113417,93,ET5.2,2.8
2014,MD,October,EASTERN BAY,BUGBY,38.87535,-76.220267,83,EE1.1,2.8
2019,MD,October,EASTERN BAY,BUGBY,38.87535,-76.220267,90,EE1.1,2.8
1995,MD,October,EASTERN BAY,HOLLICUT NOOSE,38.1186,-76.075933,90,EE3.1,2.8
2012,VA,October,GREAT WICOMICO RIVER,CRANES CREEK,,,96,CB5.4,2.8
1996,MD,October,EASTERN BAY,PARSONS ISLAND,38.895883,-76.2602,73,ET4.2,2.8
2004,MD,October,EASTERN BAY,PARSONS ISLAND,38.895883,-76.2602,93,ET4.2,2.8
2006,VA,November,JAMES RIVER,DRY SHOAL,37.061383,-76.603883,88,LE5.2,2.8
2009,VA,October,GREAT WICOMICO RIVER,FLEET POINT,37.809717,-76.288617,80,CB5.4,2.8
2010,VA,October,GREAT WICOMICO RIVER,FLEET POINT,37.809717,-76.288617,88,CB5.4,2.8
1995,MD,October,HONGA RIVER,NORMAN ADDITION,38.257933,-76.13665,87,EE2.2,2.8
1993,MD,October,LITTLE CHOPTANK RIVER,CASON (S),38.53645,-76.289033,93,EE2.1,2.8
2013,MD,October,LITTLE CHOPTANK RIVER,CASON (S),38.53645,-76.289033,80,EE2.1,2.8
2014,MD,October,LITTLE CHOPTANK RIVER,CASON (S),38.53645,-76.289033,90,EE2.1,2.8
2015,MD,October,LITTLE CHOPTANK RIVER,CASON (S),38.53645,-76.289033,93,EE2.1,2.8
1993,MD,October,LITTLE CHOPTANK RIVER,RAGGED POINT (LC),38.53645,-76.28903333,100,EE3.0,2.8
1995,MD,October,MANOKIN RIVER,GEORGES (S),38.40033,-75.824867,87,ET5.2,2.8
1999,MD,October,MIDDLE BAY,HOLLAND POINT (S),38.739367,-76.511667,93,CB4.1W,2.8
2001,MD,October,MIDDLE BAY,STONE ROCK,38.64795,-76.3765,83,CB3.3W,2.8
2003,MD,October,MILES RIVER,LONG POINT (S),38.767233,-76.17735,97,EE1.1,2.8
1995,MD,October,MILES RIVER,TURTLE BACK,38.851067,-76.236333,100,EE1.1,2.8
2004,MD,October,MILES RIVER,TURTLE BACK,38.851067,-76.236333,80,EE1.1,2.8
2000,VA,October,RAPPAHANNOCK RIVER,MORATTICO,37.780533,-76.658183,96,LE3.1,2.8
1990,VA,October,RAPPAHANNOCK RIVER,MORATTICO ,37.780533,-76.658183,100,LE3.1,2.8
2011,VA,October,JAMES RIVER,NANSEMOND RIDGE,36.922217,-76.452783,65,LE5.2,2.8
1991,MD,October,NANTICOKE RIVER,WILSON SHOALS (S),39.289717,-75.921033,100,ET3.1,2.8
2015,MD,October,NANTICOKE RIVER,WILSON SHOALS (S),39.289717,-75.921033,80,ET3.1,2.8
1991,MD,October,PATUXENT RIVER,BROOME ISLAND,38.405133,-76.561167,100,LE1.1,2.8
1998,MD,October,POCOMOKE SOUND,MARUMSCO,37.948233,-75.736017,80,EE3.3,2.8
2004,MD,October,POCOMOKE SOUND,MARUMSCO,37.948233,-75.736017,87,EE3.3,2.8
2006,MD,October,POCOMOKE SOUND,MARUMSCO,37.948233,-75.736017,67,EE3.3,2.8
2012,MD,October,ST. MARY'S RIVER,PAGAN (S),38.1918,-76.443767,87,EE3.0,2.8
2008,MD,October,TANGIER SOUND,OLD WOMAN'S LEG,37.95625,-75.962667,90,EE3.2,2.8
1992,MD,October,TANGIER SOUND,SHARKFIN SHOAL,38.208167,-75.986383,97,EE3.0,2.8
2015,MD,October,TANGIER SOUND,SHARKFIN SHOAL,38.208167,-75.986383,77,EE3.0,2.8
2006,VA,November,JAMES RIVER,THOMAS ROCK,37.029433,-76.493283,96,LE5.2,2.8
2011,VA,October,JAMES RIVER,THOMAS ROCK,37.029433,-76.493283,92,LE5.2,2.8
1991,MD,October,GREAT WICOMICO RIVER,LANCASTER,38.276033,-76.824283,97,RET3.1,2.8
1990,MD,October,WYE RIVER,BRUFFS ISLAND,38.860283,-76.194117,83,EE1.1,2.8
1991,MD,October,WYE RIVER,BRUFFS ISLAND,38.860283,-76.194117,83,EE1.1,2.8
2000,VA,October,JAMES RIVER,WRECK SHOAL,37.060283,-76.572217,96,LE5.2,2.8
2008,VA,October,PIANKATANK RIVER,BURTON POINT,37.515,-76.328333,100,LE3.7,2.76
2000,VA,October,EASTERN SHORE,PUNGOTEAGUE CREEK,,,100,,2.76
2001,VA,October,RAPPAHANNOCK RIVER,SMOKEY POINT,37.719167,-76.582217,100,LE3.1,2.76
2001,VA,October,PIANKATANK RIVER,BURTON POINT,37.515,-76.328333,100,LE3.7,2.730769231
2016,VA,October,YORK RIVER,ABERDEEN ROCK,37.335283,-76.60055,96,LE4.2,2.72
2000,VA,October,PIANKATANK RIVER,GINNEY POINT,37.3533333,-76.4,96,WE4.1,2.72
1999,VA,October,RAPPAHANNOCK RIVER,PARROT ROCK,37.605833,-76.588883,100,LE3.2,2.714285714
2000,VA,October,YORK RIVER,ABERDEEN ROCK,37.335283,-76.60055,96,LE4.2,2.708333333
2007,MD,October,BROAD CREEK,DEEP NECK,38.740517,-76.2449,90,EE2.1,2.7
2009,VA,October,PIANKATANK RIVER,BURTON POINT,37.515,-76.328333,88,LE3.7,2.7
2012,VA,October,PIANKATANK RIVER,BURTON POINT,37.515,-76.328333,84,LE3.7,2.7
2006,MD,October,EASTERN BAY,BUGBY,38.87535,-76.220267,87,EE1.1,2.7
