"Year","State","Month","Region","Site","Lat","Long","Prevalence","MonitoringLocation","Mean.Intensity"
2004,"VA","October","JAMES RIVER","NANSEMOND RIDGE",36.922217,-76.452783,"72","LE5.2",1.76
2005,"VA","October","JAMES RIVER","NANSEMOND RIDGE",36.922217,-76.452783,"100","LE5.2",2.68
2006,"VA","November","JAMES RIVER","NANSEMOND RIDGE",36.922217,-76.452783,"92","LE5.2",3.08
2007,"VA","October","JAMES RIVER","NANSEMOND RIDGE",36.922217,-76.452783,"72","LE5.2",1.52
2008,"VA","October","JAMES RIVER","NANSEMOND RIDGE",36.922217,-76.452783,"80","LE5.2",1.92
2014,"VA","October","JAMES RIVER","NANSEMOND RIDGE",36.922217,-76.452783,"33","LE5.2",0.666666667
2016,"VA","October","JAMES RIVER","NANSEMOND RIDGE",36.922217,-76.452783,"48","LE5.2",1.12
2017,"VA","","JAMES RIVER","NANSEMOND RIDGE",36.922217,-76.452783,"","LE5.2",0
2018,"VA","October","JAMES RIVER","NANSEMOND RIDGE",36.922217,-76.452783,"40","LE5.2",0.72
2019,"VA","October","JAMES RIVER","NANSEMOND RIDGE",36.922217,-76.452783,"28","LE5.2",0.76
2020,"VA","October","JAMES RIVER","NANSEMOND RIDGE",36.922217,-76.452783,"44","LE5.2",0.92
2021,"VA","October","JAMES RIVER","NANSEMOND RIDGE",36.922217,-76.452783,"76","LE5.2",1.72
2009,"VA","October","JAMES RIVER","NANSEMOND RIDGE",36.922217,-76.452783,"68","LE5.2",1.9
2011,"VA","October","JAMES RIVER","NANSEMOND RIDGE",36.922217,-76.452783,"65","LE5.2",2.8
2012,"VA","October","JAMES RIVER","NANSEMOND RIDGE",36.922217,-76.452783,"44","LE5.2",2.2
1998,"VA","October","JAMES RIVER","POINT OF SHOAL",37.07695,-76.643333,"68","LE5.2",0.851851852
1999,"VA","October","JAMES RIVER","POINT OF SHOAL",37.07695,-76.643333,"100","LE5.2",2.68
2000,"VA","October","JAMES RIVER","POINT OF SHOAL",37.07695,-76.643333,"100","LE5.2",2.36
2001,"VA","October","JAMES RIVER","POINT OF SHOAL",37.07695,-76.643333,"100","LE5.2",1.88
2002,"VA","October","JAMES RIVER","POINT OF SHOAL",37.07695,-76.643333,"88","LE5.2",1.76
2003,"VA","October","JAMES RIVER","POINT OF SHOAL",37.07695,-76.643333,"39","LE5.2",0.565217391
2004,"VA","October","JAMES RIVER","POINT OF SHOAL",37.07695,-76.643333,"20","LE5.2",0.2
2005,"VA","October","JAMES RIVER","POINT OF SHOAL",37.07695,-76.643333,"56","LE5.2",0.96
2006,"VA","November","JAMES RIVER","POINT OF SHOAL",37.07695,-76.643333,"92","LE5.2",1.88
2007,"VA","October","JAMES RIVER","POINT OF SHOAL",37.07695,-76.643333,"100","LE5.2",2.68
2008,"VA","October","JAMES RIVER","POINT OF SHOAL",37.07695,-76.643333,"80","LE5.2",1.76
2013,"VA","October","JAMES RIVER","POINT OF SHOAL",37.07695,-76.643333,"32","LE5.2",0.56
2014,"VA","October","JAMES RIVER","POINT OF SHOAL",37.07695,-76.643333,"13","LE5.2",0.208333333
2015,"VA","October","JAMES RIVER","POINT OF SHOAL",37.07695,-76.643333,"4","LE5.2",0.04
2016,"VA","October","JAMES RIVER","POINT OF SHOAL",37.07695,-76.643333,"12","LE5.2",0.12
2017,"VA","October","JAMES RIVER","POINT OF SHOAL",37.07695,-76.643333,"20","LE5.2",0.44
2018,"VA","October","JAMES RIVER","POINT OF SHOAL",37.07695,-76.643333,"4","LE5.2",0.04
2019,"VA","October","JAMES RIVER","POINT OF SHOAL",37.07695,-76.643333,"20","LE5.2",0.2
2020,"VA","September","JAMES RIVER","POINT OF SHOAL",37.07695,-76.643333,"12","LE5.2",0.2
2021,"VA","October","JAMES RIVER","POINT OF SHOAL",37.07695,-76.643333,"32","LE5.2",0.32
2009,"VA","October","JAMES RIVER","POINT OF SHOAL",37.07695,-76.643333,"74","LE5.2",1.9
2010,"VA","October","JAMES RIVER","POINT OF SHOAL",37.07695,-76.643333,"89","LE5.2",2.1
2011,"VA","October","JAMES RIVER","POINT OF SHOAL",37.07695,-76.643333,"70","LE5.2",1.3
2012,"VA","October","JAMES RIVER","POINT OF SHOAL",37.07695,-76.643333,"80","LE5.2",1.4
1991,"VA","October","JAMES RIVER","POINT OF SHOALS",37.07695,-76.643333,"100","LE5.2",2.52
1992,"VA","October","JAMES RIVER","POINT OF SHOALS",37.07695,-76.643333,"96","LE5.2",1.52
1993,"VA","October","JAMES RIVER","POINT OF SHOALS",37.07695,-76.643333,"80","LE5.2",1.04
1994,"VA","October","JAMES RIVER","POINT OF SHOALS",37.07695,-76.643333,"92","LE5.2",1.4
1995,"VA","October","JAMES RIVER","POINT OF SHOALS",37.07695,-76.643333,"100","LE5.2",2.2
1996,"VA","October","JAMES RIVER","POINT OF SHOALS",37.07695,-76.643333,"44","LE5.2",0.52
1997,"VA","October","JAMES RIVER","POINT OF SHOALS",37.07695,-76.643333,"80","LE5.2",1.2
1998,"VA","October","JAMES RIVER","POINT OF SHOALS",37.07695,-76.643333,"68","LE5.2",0.92
1992,"VA","May","JAMES RIVER","SWASH",37.092217,-76.612217,"20","LE5.2",0.2
2000,"VA","October","JAMES RIVER","SWASH",37.092217,-76.612217,"88","LE5.2",2.32
2001,"VA","October","JAMES RIVER","SWASH",37.092217,-76.612217,"100","LE5.2",2.84
2002,"VA","October","JAMES RIVER","SWASH",37.092217,-76.612217,"96","LE5.2",2.4
2003,"VA","October","JAMES RIVER","SWASH",37.092217,-76.612217,"60","LE5.2",1.16
2004,"VA","October","JAMES RIVER","SWASH",37.092217,-76.612217,"44","LE5.2",0.6
2005,"VA","October","JAMES RIVER","SWASH",37.092217,-76.612217,"64","LE5.2",0.68
2006,"VA","November","JAMES RIVER","SWASH",37.092217,-76.612217,"88","LE5.2",1.84
2007,"VA","October","JAMES RIVER","SWASH",37.092217,-76.612217,"88","LE5.2",1.84
2008,"VA","October","JAMES RIVER","SWASH",37.092217,-76.612217,"96","LE5.2",2
2013,"VA","October","JAMES RIVER","SWASH",37.092217,-76.612217,"68","LE5.2",1.16
2014,"VA","October","JAMES RIVER","SWASH",37.092217,-76.612217,"28","LE5.2",0.44
2015,"VA","October","JAMES RIVER","SWASH",37.092217,-76.612217,"12","LE5.2",0.2
2016,"VA","October","JAMES RIVER","SWASH",37.092217,-76.612217,"12","LE5.2",0.12
2017,"VA","October","JAMES RIVER","SWASH",37.092217,-76.612217,"56","LE5.2",1.12
2019,"VA","October","JAMES RIVER","SWASH",37.092217,-76.612217,"28","LE5.2",0.28
2020,"VA","September","JAMES RIVER","SWASH",37.092217,-76.612217,"32","LE5.2",0.64
2009,"VA","October","JAMES RIVER","SWASH",37.092217,-76.612217,"92","LE5.2",1.8
2010,"VA","October","JAMES RIVER","SWASH",37.092217,-76.612217,"88","LE5.2",2.1
2011,"VA","October","JAMES RIVER","SWASH",37.092217,-76.612217,"64","LE5.2",1.6
2012,"VA","October","JAMES RIVER","SWASH",37.092217,-76.612217,"100","LE5.2",2.5
1999,"VA","October","JAMES RIVER","THOMAS ROCK",37.029433,-76.493283,"95","LE5.2",1.45
2001,"VA","October","JAMES RIVER","THOMAS ROCK",37.029433,-76.493283,"72","LE5.2",1.92
2002,"VA","October","JAMES RIVER","THOMAS ROCK",37.029433,-76.493283,"32","LE5.2",0.64
2003,"VA","October","JAMES RIVER","THOMAS ROCK",37.029433,-76.493283,"56","LE5.2",0.72
2004,"VA","October","JAMES RIVER","THOMAS ROCK",37.029433,-76.493283,"68","LE5.2",1.72
2005,"VA","October","JAMES RIVER","THOMAS ROCK",37.029433,-76.493283,"100","LE5.2",2.166666667
2006,"VA","November","JAMES RIVER","THOMAS ROCK",37.029433,-76.493283,"96","LE5.2",2.8
2007,"VA","October","JAMES RIVER","THOMAS ROCK",37.029433,-76.493283,"76","LE5.2",1.4
2008,"VA","October","JAMES RIVER","THOMAS ROCK",37.029433,-76.493283,"96","LE5.2",2.458333333
2013,"VA","October","JAMES RIVER","THOMAS ROCK",37.029433,-76.493283,"64","LE5.2",1.76
2014,"VA","October","JAMES RIVER","THOMAS ROCK",37.029433,-76.493283,"84","LE5.2",2.12
2015,"VA","October","JAMES RIVER","THOMAS ROCK",37.029433,-76.493283,"88","LE5.2",2.24
2016,"VA","October","JAMES RIVER","THOMAS ROCK",37.029433,-76.493283,"64","LE5.2",1.28
2017,"VA","October","JAMES RIVER","THOMAS ROCK",37.029433,-76.493283,"76","LE5.2",1.56
2018,"VA","October","JAMES RIVER","THOMAS ROCK",37.029433,-76.493283,"56","LE5.2",0.8
2019,"VA","October","JAMES RIVER","THOMAS ROCK",37.029433,-76.493283,"64","LE5.2",1.52
2020,"VA","October","JAMES RIVER","THOMAS ROCK",37.029433,-76.493283,"92","LE5.2",2.04
2021,"VA","October","JAMES RIVER","THOMAS ROCK",37.029433,-76.493283,"100","LE5.2",2.36
2009,"VA","October","JAMES RIVER","THOMAS ROCK",37.029433,-76.493283,"100","LE5.2",2.5
2010,"VA","October","JAMES RIVER","THOMAS ROCK",37.029433,-76.493283,"100","LE5.2",3.2
2011,"VA","October","JAMES RIVER","THOMAS ROCK",37.029433,-76.493283,"92","LE5.2",2.8
2012,"VA","October","JAMES RIVER","THOMAS ROCK",37.029433,-76.493283,"92","LE5.2",1.9
1991,"VA","October","JAMES RIVER","WRECK SHOAL",37.060283,-76.572217,"100","LE5.2",1.96
1992,"VA","October","JAMES RIVER","WRECK SHOAL",37.060283,-76.572217,"100","LE5.2",1.76
1993,"VA","October","JAMES RIVER","WRECK SHOAL",37.060283,-76.572217,"100","LE5.2",1.88
1994,"VA","October","JAMES RIVER","WRECK SHOAL",37.060283,-76.572217,"96","LE5.2",1.84
1995,"VA","October","JAMES RIVER","WRECK SHOAL",37.060283,-76.572217,"100","LE5.2",1.24
1996,"VA","October","JAMES RIVER","WRECK SHOAL",37.060283,-76.572217,"95","LE5.2",1.44
1997,"VA","October","JAMES RIVER","WRECK SHOAL",37.060283,-76.572217,"96","LE5.2",2.16
1998,"VA","October","JAMES RIVER","WRECK SHOAL",37.060283,-76.572217,"96","LE5.2",2
1998,"VA","October","JAMES RIVER","WRECK SHOAL",37.060283,-76.572217,"96","LE5.2",2
1999,"VA","October","JAMES RIVER","WRECK SHOAL",37.060283,-76.572217,"100","LE5.2",3
2000,"VA","October","JAMES RIVER","WRECK SHOAL",37.060283,-76.572217,"96","LE5.2",2.8
2001,"VA","October","JAMES RIVER","WRECK SHOAL",37.060283,-76.572217,"100","LE5.2",2.84
2002,"VA","October","JAMES RIVER","WRECK SHOAL",37.060283,-76.572217,"96","LE5.2",2.48
2003,"VA","October","JAMES RIVER","WRECK SHOAL",37.060283,-76.572217,"40","LE5.2",0.64
2004,"VA","October","JAMES RIVER","WRECK SHOAL",37.060283,-76.572217,"68","LE5.2",1.24
2005,"VA","October","JAMES RIVER","WRECK SHOAL",37.060283,-76.572217,"92","LE5.2",2.2
2006,"VA","November","JAMES RIVER","WRECK SHOAL",37.060283,-76.572217,"96","LE5.2",2.24
2007,"VA","October","JAMES RIVER","WRECK SHOAL",37.060283,-76.572217,"80","LE5.2",1.44
2008,"VA","October","JAMES RIVER","WRECK SHOAL",37.060283,-76.572217,"96","LE5.2",2.32
2013,"VA","October","JAMES RIVER","WRECK SHOAL",37.060283,-76.572217,"56","LE5.2",1.04
2014,"VA","October","JAMES RIVER","WRECK SHOAL",37.060283,-76.572217,"76","LE5.2",1.4
2015,"VA","October","JAMES RIVER","WRECK SHOAL",37.060283,-76.572217,"72","LE5.2",1.68
2016,"VA","October","JAMES RIVER","WRECK SHOAL",37.060283,-76.572217,"60","LE5.2",1.08
2017,"VA","October","JAMES RIVER","WRECK SHOAL",37.060283,-76.572217,"88","LE5.2",2
2018,"VA","October","JAMES RIVER","WRECK SHOAL",37.060283,-76.572217,"60","LE5.2",1.08
2019,"VA","October","JAMES RIVER","WRECK SHOAL",37.060283,-76.572217,"84","LE5.2",1.8
2020,"VA","September","JAMES RIVER","WRECK SHOAL",37.060283,-76.572217,"72","LE5.2",1.52
2021,"VA","October","JAMES RIVER","WRECK SHOAL",37.060283,-76.572217,"32","LE5.2",0.48
2009,"VA","October","JAMES RIVER","WRECK SHOAL",37.060283,-76.572217,"94","LE5.2",2.2
2010,"VA","October","JAMES RIVER","WRECK SHOAL",37.060283,-76.572217,"94","LE5.2",2.6
2011,"VA","October","JAMES RIVER","WRECK SHOAL",37.060283,-76.572217,"90","LE5.2",1.8
2012,"VA","October","JAMES RIVER","WRECK SHOAL",37.060283,-76.572217,"92","LE5.2",2
1990,"VA","September","MOBJACK BAY","PULTZ BAR",37.35305,-76.352783,"24","WE4.1",0.4
1991,"VA","September","MOBJACK BAY","PULTZ BAR",37.35305,-76.352783,"100","WE4.1",1.48
1998,"VA","October","MOBJACK BAY","PULTZ BAR",37.35305,-76.352783,"8","WE4.1",0.08
1998,"VA","October","MOBJACK BAY","PULTZ BAR",37.35305,-76.352783,"8","WE4.1",0.08
1999,"VA","October","MOBJACK BAY","PULTZ BAR",37.35305,-76.352783,"84","WE4.1",1.24
2000,"VA","October","MOBJACK BAY","PULTZ BAR",37.35305,-76.352783,"95","WE4.1",3.333333333
2001,"VA","October","MOBJACK BAY","PULTZ BAR",37.35305,-76.352783,"100","WE4.1",3
2004,"VA","September","MOBJACK BAY","PULTZ BAR",37.35305,-76.352783,"78","WE4.1",1
2005,"VA","October","MOBJACK BAY","PULTZ BAR",37.35305,-76.352783,"17","WE4.1",0.5
2008,"VA","October","MOBJACK BAY","PULTZ BAR",37.35305,-76.352783,"28","WE4.1",0.44
2013,"VA","October","MOBJACK BAY","PULTZ BAR",37.35305,-76.352783,"87","WE4.1",2.173913043
2014,"VA","October","MOBJACK BAY","PULTZ BAR",37.35305,-76.352783,"64","WE4.1",1.36
2015,"VA","October","MOBJACK BAY","PULTZ BAR",37.35305,-76.352783,"12","WE4.1",0.2
2016,"VA","","MOBJACK BAY","PULTZ BAR",37.35305,-76.352783,"","WE4.1",0
2017,"VA","October","MOBJACK BAY","PULTZ BAR",37.35305,-76.352783,"20","WE4.1",0.2
2018,"VA","October","MOBJACK BAY","PULTZ BAR",37.35305,-76.352783,"36","WE4.1",0.52
2019,"VA","October","MOBJACK BAY","PULTZ BAR",37.35305,-76.352783,"96","WE4.1",2.2
2020,"VA","September","MOBJACK BAY","PULTZ BAR",37.35305,-76.352783,"64","WE4.1",1.52
2021,"VA","September","MOBJACK BAY","PULTZ BAR",37.35305,-76.352783,"84","WE4.1",1.8
2009,"VA","October","MOBJACK BAY","PULTZ BAR",37.35305,-76.352783,"100","WE4.1",1.5
2010,"VA","October","MOBJACK BAY","PULTZ BAR",37.35305,-76.352783,"96","WE4.1",2.3
2011,"VA","October","MOBJACK BAY","PULTZ BAR",37.35305,-76.352783,"96","WE4.1",3.2
2012,"VA","October","MOBJACK BAY","PULTZ BAR",37.35305,-76.352783,"96","WE4.1",2.7
1990,"VA","September","MOBJACK BAY","TOW STAKE",37.338883,-76.386117,"100","WE4.1",2.36
1991,"VA","September","MOBJACK BAY","TOW STAKE",37.338883,-76.386117,"100","WE4.1",1.52
1992,"VA","September","MOBJACK BAY","TOW STAKE",37.338883,-76.386117,"100","WE4.1",1.84
1993,"VA","September","MOBJACK BAY","TOW STAKE",37.338883,-76.386117,"93","WE4.1",1.2
1999,"VA","October","MOBJACK BAY","TOW STAKE",37.338883,-76.386117,"96","WE4.1",1.76
2000,"VA","October","MOBJACK BAY","TOW STAKE",37.338883,-76.386117,"100","WE4.1",3.48
2001,"VA","October","MOBJACK BAY","TOW STAKE",37.338883,-76.386117,"96","WE4.1",3.041666667
2002,"VA","September","MOBJACK BAY","TOW STAKE",37.338883,-76.386117,"96","WE4.1",3.2
2003,"VA","October","MOBJACK BAY","TOW STAKE",37.338883,-76.386117,"83","WE4.1",1.333333333
2004,"VA","September","MOBJACK BAY","TOW STAKE",37.338883,-76.386117,"63","WE4.1",1.368421053
2005,"VA","October","MOBJACK BAY","TOW STAKE",37.338883,-76.386117,"12","WE4.1",0.12
2006,"VA","September","MOBJACK BAY","TOW STAKE",37.338883,-76.386117,"40","WE4.1",0.72
2008,"VA","October","MOBJACK BAY","TOW STAKE",37.338883,-76.386117,"92","WE4.1",2.44
2013,"VA","October","MOBJACK BAY","TOW STAKE",37.338883,-76.386117,"76","WE4.1",1.48
2015,"VA","October","MOBJACK BAY","TOW STAKE",37.338883,-76.386117,"64","WE4.1",1.52
2016,"VA","October","MOBJACK BAY","TOW STAKE",37.338883,-76.386117,"80","WE4.1",2.16
2017,"VA","October","MOBJACK BAY","TOW STAKE",37.338883,-76.386117,"68","WE4.1",1.48
2018,"VA","October","MOBJACK BAY","TOW STAKE",37.338883,-76.386117,"48","WE4.1",0.857142857
2019,"VA","October","MOBJACK BAY","TOW STAKE",37.338883,-76.386117,"76","WE4.1",1.24
2020,"VA","September","MOBJACK BAY","TOW STAKE",37.338883,-76.386117,"84","WE4.1",2.12
2021,"VA","September","MOBJACK BAY","TOW STAKE",37.338883,-76.386117,"72","WE4.1",1.44
2009,"VA","October","MOBJACK BAY","TOW STAKE",37.338883,-76.386117,"96","WE4.1",1.7
2010,"VA","October","MOBJACK BAY","TOW STAKE",37.338883,-76.386117,"96","WE4.1",2.5
2011,"VA","October","MOBJACK BAY","TOW STAKE",37.338883,-76.386117,"92","WE4.1",2.4
2012,"VA","October","MOBJACK BAY","TOW STAKE",37.338883,-76.386117,"96","WE4.1",1.9
2014,"VA","October","MOBJACK BAY","TOW STAKE",37.338883,-76.386117,"71","WE4.1",1.041666667
1990,"VA","September","PIANKATANK RIVER","BURTON POINT",37.515,-76.328333,"16","LE3.7",0.16
1991,"VA","September","PIANKATANK RIVER","BURTON POINT",37.515,-76.328333,"92","LE3.7",2.08
1992,"VA","October","PIANKATANK RIVER","BURTON POINT",37.515,-76.328333,"100","LE3.7",1.48
1993,"VA","September","PIANKATANK RIVER","BURTON POINT",37.515,-76.328333,"96","LE3.7",1.28
1996,"VA","October","PIANKATANK RIVER","BURTON POINT",37.515,-76.328333,"92","LE3.7",2.04
1997,"VA","October","PIANKATANK RIVER","BURTON POINT",37.515,-76.328333,"68","LE3.7",1.24
1998,"VA","October","PIANKATANK RIVER","BURTON POINT",37.515,-76.328333,"88","LE3.7",1.28
1998,"VA","October","PIANKATANK RIVER","BURTON POINT",37.515,-76.328333,"88","LE3.7",1.52
1999,"VA","October","PIANKATANK RIVER","BURTON POINT",37.515,-76.328333,"100","LE3.7",2.2
2000,"VA","October","PIANKATANK RIVER","BURTON POINT",37.515,-76.328333,"80","LE3.7",1.92
2001,"VA","October","PIANKATANK RIVER","BURTON POINT",37.515,-76.328333,"100","LE3.7",2.730769231
2002,"VA","October","PIANKATANK RIVER","BURTON POINT",37.515,-76.328333,"100","LE3.7",3
2003,"VA","October","PIANKATANK RIVER","BURTON POINT",37.515,-76.328333,"88","LE3.7",2.48
2004,"VA","October","PIANKATANK RIVER","BURTON POINT",37.515,-76.328333,"48","LE3.7",1.04
2005,"VA","October","PIANKATANK RIVER","BURTON POINT",37.515,-76.328333,"76","LE3.7",2.6
2006,"VA","October","PIANKATANK RIVER","BURTON POINT",37.515,-76.328333,"76","LE3.7",1.8
2008,"VA","October","PIANKATANK RIVER","BURTON POINT",37.515,-76.328333,"100","LE3.7",2.76
2013,"VA","October","PIANKATANK RIVER","BURTON POINT",37.515,-76.328333,"72","LE3.7",1.28
2014,"VA","October","PIANKATANK RIVER","BURTON POINT",37.515,-76.328333,"68","LE3.7",1.16
2015,"VA","October","PIANKATANK RIVER","BURTON POINT",37.515,-76.328333,"68","LE3.7",1.64
2016,"VA","October","PIANKATANK RIVER","BURTON POINT",37.515,-76.328333,"80","LE3.7",1.36
2017,"VA","October","PIANKATANK RIVER","BURTON POINT",37.515,-76.328333,"88","LE3.7",1.92
2018,"VA","October","PIANKATANK RIVER","BURTON POINT",37.515,-76.328333,"72","LE3.7",1.28
2019,"VA","October","PIANKATANK RIVER","BURTON POINT",37.515,-76.328333,"60","LE3.7",1.24
2020,"VA","September","PIANKATANK RIVER","BURTON POINT",37.515,-76.328333,"44","LE3.7",0.76
2021,"VA","September","PIANKATANK RIVER","BURTON POINT",37.515,-76.328333,"76","LE3.7",1.08
2009,"VA","October","PIANKATANK RIVER","BURTON POINT",37.515,-76.328333,"88","LE3.7",2.7
2010,"VA","October","PIANKATANK RIVER","BURTON POINT",37.515,-76.328333,"96","LE3.7",2.8
2011,"VA","October","PIANKATANK RIVER","BURTON POINT",37.515,-76.328333,"92","LE3.7",2.5
2012,"VA","October","PIANKATANK RIVER","BURTON POINT",37.515,-76.328333,"84","LE3.7",2.7
1990,"VA","September","PIANKATANK RIVER","GINNEY POINT",37.3533333,-76.4,"10","WE4.1",1.92
1991,"VA","September","PIANKATANK RIVER","GINNEY POINT",37.3533333,-76.4,"100","WE4.1",3.08
1992,"VA","November","PIANKATANK RIVER","GINNEY POINT",37.3533333,-76.4,"56","WE4.1",0.56
1993,"VA","September","PIANKATANK RIVER","GINNEY POINT",37.3533333,-76.4,"88","WE4.1",1.44
1996,"VA","October","PIANKATANK RIVER","GINNEY POINT",37.3533333,-76.4,"100","WE4.1",1.96
1997,"VA","October","PIANKATANK RIVER","GINNEY POINT",37.3533333,-76.4,"36","WE4.1",0.36
1998,"VA","October","PIANKATANK RIVER","GINNEY POINT",37.3533333,-76.4,"52","WE4.1",0.92
1998,"VA","October","PIANKATANK RIVER","GINNEY POINT",37.3533333,-76.4,"52","WE4.1",1.16
1999,"VA","October","PIANKATANK RIVER","GINNEY POINT",37.3533333,-76.4,"76","WE4.1",1.16
2000,"VA","October","PIANKATANK RIVER","GINNEY POINT",37.3533333,-76.4,"96","WE4.1",2.72
2001,"VA","October","PIANKATANK RIVER","GINNEY POINT",37.3533333,-76.4,"100","WE4.1",3.48
2002,"VA","October","PIANKATANK RIVER","GINNEY POINT",37.3533333,-76.4,"96","WE4.1",1.76
2003,"VA","October","PIANKATANK RIVER","GINNEY POINT",37.3533333,-76.4,"92","WE4.1",1.56
2006,"VA","October","PIANKATANK RIVER","GINNEY POINT",37.3533333,-76.4,"56","WE4.1",1.1875
2007,"VA","October","PIANKATANK RIVER","GINNEY POINT",37.3533333,-76.4,"80","WE4.1",1.92
2008,"VA","October","PIANKATANK RIVER","GINNEY POINT",37.3533333,-76.4,"92","WE4.1",1.48
2013,"VA","October","PIANKATANK RIVER","GINNEY POINT",37.3533333,-76.4,"68","WE4.1",1.32
2014,"VA","October","PIANKATANK RIVER","GINNEY POINT",37.3533333,-76.4,"76","WE4.1",1
2015,"VA","October","PIANKATANK RIVER","GINNEY POINT",37.3533333,-76.4,"48","WE4.1",0.72
2016,"VA","October","PIANKATANK RIVER","GINNEY POINT",37.3533333,-76.4,"56","WE4.1",0.88
2017,"VA","October","PIANKATANK RIVER","GINNEY POINT",37.3533333,-76.4,"96","WE4.1",2.48
2018,"VA","October","PIANKATANK RIVER","GINNEY POINT",37.3533333,-76.4,"56","WE4.1",0.88
2019,"VA","October","PIANKATANK RIVER","GINNEY POINT",37.3533333,-76.4,"76","WE4.1",1.48
2020,"VA","","PIANKATANK RIVER","GINNEY POINT",37.3533333,-76.4,"60","WE4.1",1.16
2021,"VA","September","PIANKATANK RIVER","GINNEY POINT",37.3533333,-76.4,"72","WE4.1",1.52
2009,"VA","October","PIANKATANK RIVER","GINNEY POINT",37.3533333,-76.4,"96","WE4.1",2.3
2010,"VA","October","PIANKATANK RIVER","GINNEY POINT",37.3533333,-76.4,"92","WE4.1",2.6
2011,"VA","October","PIANKATANK RIVER","GINNEY POINT",37.3533333,-76.4,"92","WE4.1",2
2012,"VA","October","PIANKATANK RIVER","GINNEY POINT",37.3533333,-76.4,"68","WE4.1",1.9
1990,"VA","September","PIANKATANK RIVER","PALACE BAR",37.526667,-76.37,"100","LE3.7",2.44
1991,"VA","September","PIANKATANK RIVER","PALACE BAR",37.526667,-76.37,"100","LE3.7",2.28
1992,"VA","October","PIANKATANK RIVER","PALACE BAR",37.526667,-76.37,"100","LE3.7",1.96
1993,"VA","October","PIANKATANK RIVER","PALACE BAR",37.526667,-76.37,"40","LE3.7",0.8
1993,"VA","October","PIANKATANK RIVER","PALACE BAR",37.526667,-76.37,"16","LE3.7",0.16
1993,"VA","October","PIANKATANK RIVER","PALACE BAR",37.526667,-76.37,"100","LE3.7",1.4
1996,"VA","October","PIANKATANK RIVER","PALACE BAR",37.526667,-76.37,"100","LE3.7",2.12
1997,"VA","October","PIANKATANK RIVER","PALACE BAR",37.526667,-76.37,"68","LE3.7",1
2000,"VA","October","PIANKATANK RIVER","PALACE BAR",37.526667,-76.37,"92","LE3.7",2.5
2001,"VA","October","PIANKATANK RIVER","PALACE BAR",37.526667,-76.37,"100","LE3.7",2.555555556
2002,"VA","October","PIANKATANK RIVER","PALACE BAR",37.526667,-76.37,"100","LE3.7",2.52
2003,"VA","October","PIANKATANK RIVER","PALACE BAR",37.526667,-76.37,"92","LE3.7",1.48
2004,"VA","October","PIANKATANK RIVER","PALACE BAR",37.526667,-76.37,"76","LE3.7",1.8
2005,"VA","October","PIANKATANK RIVER","PALACE BAR",37.526667,-76.37,"100","LE3.7",2.36
2006,"VA","October","PIANKATANK RIVER","PALACE BAR",37.526667,-76.37,"84","LE3.7",1.88
2007,"VA","October","PIANKATANK RIVER","PALACE BAR",37.526667,-76.37,"72","LE3.7",1.36
2008,"VA","October","PIANKATANK RIVER","PALACE BAR",37.526667,-76.37,"88","LE3.7",2.08
2013,"VA","October","PIANKATANK RIVER","PALACE BAR",37.526667,-76.37,"80","LE3.7",1.84
2014,"VA","October","PIANKATANK RIVER","PALACE BAR",37.526667,-76.37,"68","LE3.7",1.8
2015,"VA","October","PIANKATANK RIVER","PALACE BAR",37.526667,-76.37,"36","LE3.7",0.52
2016,"VA","October","PIANKATANK RIVER","PALACE BAR",37.526667,-76.37,"68","LE3.7",1.56
2017,"VA","October","PIANKATANK RIVER","PALACE BAR",37.526667,-76.37,"88","LE3.7",2
2018,"VA","October","PIANKATANK RIVER","PALACE BAR",37.526667,-76.37,"71","LE3.7",1.142857143
2019,"VA","October","PIANKATANK RIVER","PALACE BAR",37.526667,-76.37,"44","LE3.7",1.16
2020,"VA","September","PIANKATANK RIVER","PALACE BAR",37.526667,-76.37,"72","LE3.7",1.44
2021,"VA","September","PIANKATANK RIVER","PALACE BAR",37.526667,-76.37,"88","LE3.7",2.32
2009,"VA","October","PIANKATANK RIVER","PALACE BAR",37.526667,-76.37,"97","LE3.7",2.6
2010,"VA","October","PIANKATANK RIVER","PALACE BAR",37.526667,-76.37,"91","LE3.7",3.3
2011,"VA","October","PIANKATANK RIVER","PALACE BAR",37.526667,-76.37,"82","LE3.7",1.8
2012,"VA","October","PIANKATANK RIVER","PALACE BAR",37.526667,-76.37,"96","LE3.7",2.5
1990,"VA","May","RAPPAHANNOCK RIVER","BOWLERS ROCK",37.827367,-76.736333,"0","RET3.2",0
1990,"VA","October","RAPPAHANNOCK RIVER","BOWLERS ROCK",37.827367,-76.736333,"84","RET3.2",1.24
1991,"VA","May","RAPPAHANNOCK RIVER","BOWLERS ROCK",37.827367,-76.736333,"8","RET3.2",0.08
1991,"VA","September","RAPPAHANNOCK RIVER","BOWLERS ROCK",37.827367,-76.736333,"88","RET3.2",1.12
1992,"VA","May","RAPPAHANNOCK RIVER","BOWLERS ROCK",37.827367,-76.736333,"44","RET3.2",0.44
1992,"VA","October","RAPPAHANNOCK RIVER","BOWLERS ROCK",37.827367,-76.736333,"96","RET3.2",1.36
1992,"VA","November","RAPPAHANNOCK RIVER","BOWLERS ROCK",37.827367,-76.736333,"35","RET3.2",0.36
